25%
Batik merupakan seni yang paling penting dalam kehidupan masyarakat Indonesia. Keanekaragaman batik berasal dari beberapa wilayah diseluruh indonesia sehingga menyimbolkan karakteristik ciri pola batik yang berbeda-beda dari masing-masing daerah tempat batik tumbuh dan berkembang. Tugas Akhir ini telah berhasil membuat suatu Sistem Perolehan Citra berbasis Isi (SPCI) dengan ciri tekstur yang bertujuan untuk mengetahui ciri dari pola batik tersebut. SPCI merupak
Berwisata merupakan cara seseorang untuk menghilangkan kejenuhan terhadap rutinitas sehari-hari serta dapat menambah pengetahuan. Namun banyaknya jalan raya pada saat ini terkadang menyulitkan seseorang untuk memilih jalan yang mempunyai jarak yang paling minimum sehingga mempengaruhi besar
"Content Based Image Retrieval (CBIR) merupakan sistem pencarian citra menggunakan citra sebagai query yang di cocokan melalui proses similarity dengan citra yang ada di database. Fitur utama yang dimanfaatkan pada image retrieval sebagai query meliputi fitur warna, tekstur, dan shape. Ketiga fitur tersebut dapat digunakan untuk"
"Citra senyum merupakan salah satu fitur biometrik yang dapat dijadikan sebagai bukti autentik dari seseorang. Sistem pengenalan pola (pattern recognition) secara komputerisasi, akan mengetahui identitas atau ciri diri seseorang. Pengenalan senyum telah banyak diteliti oleh banyak kalangan. Salah satu bentuk penerapan pengenalan pola senyum ini adalah mengetahu"
"Pengenalan ekspresi wajah merupakan pengembangan dari pengenalan wajah dalam lingkungan pengenalan pola (feature recognition). Penelitian tentang pengenalan ekspresi wajah sangat bermanfaat pada berbagai bidang, contohnya pada bidang interaksi manusia dan komputer, dalam hal ini komputer mengenali ekspresi wajah pengguna, kemudian komputer secara te"
"Produk Olahraga merupakan salah satu bagian penting dalam organ-organ seorang atlit. Peningkatan jumlah penjualan produk yang tidak terduga menyebabkan kesulitan dalam pelayanan yang terbaik kepada konsumen. Demikian juga sebaliknya, apabila terjadi penurunan jumlah penjualan"
"Diagnosa penyakit mata dengan sistem informasi yang baik merupakan inti permasalahan pada penelitian ini. Diketahui pada studi kasus ini, dokter sebagai seorang pakar memiliki keterbatasan waktu dalam melayani pasien selama 24 jam, bahkan pada hari-hari selanjutnya. Dokter hanya bekerja tiga hari dalam satu minggu, dan 6 jam pada tiap kali melakuk"
Pengertian jenis kelamin adalah merupakan suatu akibat dari dimorfisme seksual. Telah dilakukan penelitian di Jepang bahwa burung gagak dapat membedakan jenis kelamin sebuah individu. Salah satu bentuk penerapan penentuan jenis kelamin (Jender) ini adalah mengetahui bentuk mata dan hidung seseorang sehingga bentuk mata dan hidung tersebut dapat dikenali oleh 
"Penjiplakan merupakan masalah yang sering muncul dan semakin berkembang terutama dalam bidang pendidikan. Banyak karya tulis yang sebagian bahkan seluruh isinya dibuat dengan menjiplak dari karya tulis orang lain. Untuk mengatasi masalah tersebut, salah satunya solusinya adalah dengan dibuatnya aplikasi yang dapat mengelompokan dokum"
" Komunikasi merupakan hal yang sangat penting dalam kehidupan bermasyarakat, dan semua orang pasti membutuhkan komunikasi sebagai sarana bersosialisasi dengan orang lainnya, tak terkecuali mereka yang memiliki keterbatasan fisik, tuna rungu dan tuna wicara misalnya. SIBI menupakan suatu bahasa yang menggunakan gerakan ta"
